year,season,Ftemp
1967,Fall,54.169524747252794
1967,Spring,45.432550673913084
1967,Summer,72.51571028260874
1967,Winter,32.141593200000045
1968,Fall,57.20703226373631
1968,Spring,50.64427889130439
1968,Summer,73.76291971739134
1968,Winter,29.857388593406636
1969,Fall,56.00587070329674
1969,Spring,50.86519778260873
1969,Summer,73.13954234782612
1969,Winter,30.671831600000036
1970,Fall,58.42355276923081
1970,Spring,49.358745891304395
1970,Summer,73.6804231739131
1970,Winter,28.733990800000043
1971,Fall,58.822120835164874
1971,Spring,48.74595506521744
1971,Summer,73.98283100000005
1971,Winter,30.333366600000044
1972,Fall,54.68415542857147
1972,Spring,48.97511991304353
1972,Summer,72.4255410434783
1972,Winter,34.50907400000005
1973,Fall,57.233952549450585
1973,Spring,51.3394651086957
1973,Summer,74.78929106521743
1973,Winter,34.38384500000004
1974,Fall,55.055870659340705
1974,Spring,51.63280602173918
1974,Summer,72.9478875434783
1974,Winter,34.057172600000044
1975,Fall,58.2669802637363
1975,Spring,49.83497736956525
1975,Summer,73.78510706521743
1975,Winter,36.65704560000004
1976,Fall,52.74430136263741
1976,Spring,52.50887130434787
1976,Summer,73.19751486956525
1976,Winter,33.08072395604399
1977,Fall,56.15505193406598
1977,Spring,53.50481776086961
1977,Summer,73.242602326087
1977,Winter,27.13959460000004
1978,Fall,55.12969360439565
1978,Spring,48.16197754347831
1978,Summer,72.98856363043483
1978,Winter,28.295178000000043
1979,Fall,57.27487268131872
1979,Spring,52.07096534782613
1979,Summer,72.2797156086957
1979,Winter,30.083859400000037
1980,Fall,55.44758151648356
1980,Spring,50.985355413043514
1980,Summer,74.37337954347831
1980,Winter,32.49762542857147
1981,Fall,54.837622637362685
1981,Spring,51.68846828260874
1981,Summer,74.23126523913048
1981,Winter,29.708519000000035
1982,Fall,56.7212205714286
1982,Spring,50.1129885434783
1982,Summer,71.87074739130439
1982,Winter,29.796611000000045
1983,Fall,57.37348953846158
1983,Spring,47.424499152173944
1983,Summer,75.54078128260873
1983,Winter,35.91736120000004
1984,Fall,56.50746879120883
1984,Spring,48.200201326087
1984,Summer,74.24240391304352
1984,Winter,32.35907151648356
1985,Fall,58.226092571428616
1985,Spring,53.45657013043483
1985,Summer,72.50046095652178
1985,Winter,33.37674700000004
1986,Fall,55.92698679120884
1986,Spring,52.02244830434787
1986,Summer,73.2151306086957
1986,Winter,31.22256320000005
1987,Fall,55.077452263736305
1987,Spring,51.49833213043482
