year,month,Ftemp
1968,2,27.875653793103492
1968,3,40.176471548387134
1968,4,53.25037580000004
1968,5,58.59005696774198
1968,6,69.19273820000004
1968,7,76.78309070967745
1968,8,75.1655050322581
1968,9,68.31540680000005
1968,10,58.06125529032262
1968,11,45.215960600000045
1968,12,32.15242051612907
1969,1,29.57894251612907
1969,2,30.242592500000033
1969,3,36.52538696774198
1969,4,53.22286460000003
1969,5,62.923395548387134
1969,6,71.01477080000004
1969,7,73.32270161290327
1969,8,75.01261361290327
1969,9,66.94180940000004
1969,10,55.812654645161324
1969,11,45.26958860000004
1969,12,32.7874541290323
1970,1,22.63810129032262
1970,2,30.995248357142902
1970,3,36.61686238709681
1970,4,49.45481240000005
1970,5,62.007661806451644
1970,6,69.68554040000004
1970,7,75.40939806451617
1970,8,75.8174638709678
1970,9,69.20042360000004
1970,10,58.2156941290323
1970,11,47.86146920000004
1970,12,33.951986774193585
1971,1,24.9535452258065
1971,2,32.28326792857147
1971,3,38.5887356774194
1971,4,48.55915400000005
1971,5,59.083949677419405
1971,6,71.50685180000004
1971,7,75.89114077419359
1971,8,74.4706301290323
1971,9,70.01005160000004
1971,10,61.179789548387134
1971,11,45.19793240000004
1971,12,39.65375096774197
1972,1,33.96512038709683
1972,2,29.59105937931039
1972,3,38.709202129032306
1972,4,47.26400780000005
1972,5,60.89695264516134
1972,6,67.41767480000004
1972,7,76.10685916129037
1972,8,73.59054509677424
1972,9,67.71645920000006
1972,10,52.49124006451617
1972,11,43.91786420000003
1972,12,37.97840096774197
1973,1,33.74696561290327
1973,2,31.109274500000055
1973,3,44.037863483871014
1973,4,51.88741400000004
1973,5,58.110793612903265
1973,6,72.08416400000004
1973,7,76.2072056774194
1973,8,75.98924135483874
1973,9,67.53859640000005
1973,10,57.559847290322615
1973,11,46.592550800000026
1973,12,38.64336219354843
1974,1,32.54656361290326
1974,2,30.65206550000005
1974,3,41.240964258064565
1974,4,53.305234400000046
1974,5,60.40616870967747
1974,6,68.12290460000004
1974,7,75.71218070967745
1974,8,74.85293270967746
1974,9,66.44178320000005
1974,10,52.23054490322584
1974,11,46.58946140000005
1974,12,38.8698521290323
1975,1,36.65670277419358
1975,2,34.20753221428574
1975,3,39.19305490322585
1975,4,46.502990600000025
1975,5,63.701403161290365
1975,6,70.39902500000004
1975,7,76.15780612903231
1975,8,74.68926161290328
1975,9,64.21375280000004
1975,10,59.2107370322581
1975,11,51.344992400000045
1975,12,35.70730206451616
1976,1,26.987457548387134
1976,2,36.786494206896585
1976,3,43.50817283870972
1976,4,53.65967660000004
1976,5,60.3958872258065
1976,6,72.66906080000005
1976,7,73.61090251612907
1976,8,73.29553438709681
1976,9,65.60820020000003
1976,10,52.40959090322585
1976,11,40.22627000000004
1976,12,29.110849612903266
1977,1,21.634415483871013
1977,2,31.052153428571472
1977,3,43.86213645161295
1977,4,52.392033800000036
1977,5,64.22438677419358
1977,6,68.69440820000004
1977,7,76.46066077419358
1977,8,74.42602206451618
1977,9,67.26466040000005
1977,10,54.025450903225845
1977,11,47.24603120000005
1977,12,33.34741903225811
1978,1,27.080707419354884
1978,2,24.046217857142892
1978,3,36.01087032258069
1978,4,49.55175380000005
1978,5,58.96814000000004
1978,6,70.48630460000004
1978,7,73.49991974193553
1978,8,74.89874851612909
1978,9,64.48680680000004
1978,10,54.44863090322585
1978,11,46.47634520000005
1978,12,36.34023141935488
